eng_name,weight,category,Energy,Water,Protein,Fat,Ash,Carbohydrate,Total sugars,Sucrose,Glucose,Fructose,Lactose,Maltose,Galactose,Total Dietary Fiber,Water Soluble Dietary Fiber,Water Insoluble Dietary Fiber,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Molybdenum,Iodine,Retinol,β-Carotene,Thiamin,Total Riboflavin,Total Niacin,Niacin equivalents,Nicotinic acid,Nicotinamide,Pantothenic acid,Total Vitamin B6,Pyridoxine,Biotin,Dietary Folate Equivalent,Food Folate,Folic acid,Cyanocobalamin,Total Ascorbic Acid,Vitamin D (Ergocalciferol + Cholecalciferol),Ergocalciferol,Cholecalciferol,Total Vitamin E,α-tocopherol,β-tocopherol,γ-tocopherol,δ-tocopherol,α-tocotrienol,β-tocotrienol,γ-tocotrienol,δ-tocotrienol,Total Vitamin K,Phylloquinone,Parquinone,Sum of 19 amino acids,Total essential amino acid,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Valine,Histidine,Arginine,Total non-essential amino acid,Tyrosine,Cystine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Taurine,Cholesterol,Total fatty acid,Total essential fatty acid,Saturated Fatty acid,Butyric,Caproic,Caprylic,Capric,Lauric,Tridecanoic,Mysistic,Pentadecanoic,Palmitic,Heptadecanoic,Stearic,Arachidic,Henicosanoic,Begenic,Tricosanoic,Lignoceric,Monounsaturated fatty acid,Myristoleic ,Palmitoleic ,Heptadecenoic,Oleic ,Vaccenic,Gadoleic,Erucic,Nervonic,Polyunsaturated fatty acid,Linoleic,a-linolenic ,γ-linolenic,Eicosadienoic,Icosatrienoic ,Eicosatrienoic,Arachidonic,Timnodonic/Eicosapentaenoic(EPA),Docosadienoic,Clupanodonic/Docosapentaenoic (DPA),Docosahexaenoic (DHA),Total n-3 polyunsaturated Fatty acid,Total n-6 polyunsaturated Fatty acid,Trans fatty acid,Trans oleic ,Trans linolenic,Trans linolenic.1,Sodium Chloride Equivalent
S_mini-Gimbap (rice roll),56.8,Snack_any,127.955,28.2539,2.6162,3.1769,0.8167,21.9613,0.6615,0.272,0.2104,0.1791,0.0,0.0,0.0,0.457,0.11199999999999999,0.345,15.475,0.9238,2.38,42.82,179.61,174.81099999999998,0.0299,0.00418,0.011479999999999999,0.5541,0.4593,0.2539,0.0,1177.92,0.09211,0.0919,0.60631,0.0,0.0,0.0,0.026019999999999998,0.0,0.00164,0.1656,3.67,3.67,0.0,0.0,8.9864,0.0,0.0,0.0,1.4245,0.1693,0.0081,1.0762,0.1639,0.006999999999999999,0.0,0.0,0.0,2.68,2.68,0.0,97.44,31.35,3.27,4.72,4.01,1.03,3.33,3.72,0.7,4.33,1.65,4.59,66.09,2.59,1.23,10.4,14.58,23.87,5.42,3.06,4.94,0.0,0.0,2.8708,1.4264,0.4436,0.0,0.0,0.0,0.0,0.0,0.0,0.8236,0.0,279.7477,2.1774,137.817,14.6295,0.0,5.3709,0.0,2.9228,0.9812,0.0,3.4151,0.0,935.4673,32.0605,10.3793,0.0,0.0399,1.4264,1348.4598,77.9708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,1.3484,0.0196,0.3032,12.5837,6.6888,0.4374
S_stir-fried rice with eggs and vegetables,59.8,Snack_any,127.796,31.545,3.77365,2.4245799999999997,0.46363999999999994,21.61873,0.22085,0.0,0.10675,0.1141,0.0,0.0,0.0,0.1365,0.0355,0.10099999999999999,12.217,0.7853,3.225,56.835,111.35,70.498,0.20448,0.009323,0.024062,5.43565,1.412,9.80555,20.4,38.004,0.07607,0.10559,0.420595,0.0,0.0,0.0,0.13575,0.0,0.0013650000000000001,3.18706,16.285,16.285,0.0,0.1215,18.1518,3.135,0.0,3.135,0.95734,0.34998,0.0146,0.41998,0.15778,0.0075,0.003,0.0045,0.0,1.76354,1.76354,0.0,2030.1770000000001,1003.543,99.704,166.06900000000002,135.75,53.082,106.125,105.98700000000001,30.1,130.511,45.725,130.49,1026.634,78.695,47.678999999999995,111.32600000000001,217.99200000000002,288.86,65.024,56.028999999999996,153.379,7.65,49.3245,2.20614,0.8310200000000001,0.5625,0.0,0.0,0.0,0.013999999999999999,0.091,0.0,4.8463,0.6225,381.84857999999997,3.05478,135.86547,4.2438199999999995,0.336,3.70064,27.018,1.40445,0.77874,0.7365,27.27072,0.0,701.44654,38.69913,10.03452,0.0,0.0,0.8460200000000001,758.62215,72.32664,0.0,1.9651,0.0,1.6275,0.0,0.0,0.0,0.804,10.607999999999999,0.08376,0.76234,0.01888,2.4032,8.33468,8.2983,0.1661
S_stir-fried rice with beef and paprika,58.8,Snack_any,137.436,29.355,4.15635,3.5521800000000003,0.44064,21.20143,0.21435,0.0,0.08395,0.1304,0.0,0.0,0.0,0.1525,0.0395,0.113,5.197,0.7624,3.835,48.205,128.39,57.508,0.61148,0.008803,0.019712,2.98005,0.8190000000000001,0.11075,1.44,43.233999999999995,0.06619,0.06622,0.692535,0.0,0.0,0.0,0.0126,0.0,0.003125,0.35206,4.585,4.585,0.0,0.1644,20.8009,0.0,0.0,0.0,0.72714,0.20418,0.0121,0.35758,0.15328,0.0,0.0,0.0,0.0,1.86264,1.86264,0.0,2168.237,1054.873,90.78399999999999,184.679,193.92,51.042,94.435,99.74700000000001,22.8,100.531,79.205,137.73,1113.364,79.705,25.339000000000002,133.996,219.042,349.49,114.354,98.109,93.329,0.0,7.8588,2.8350400000000002,0.70462,0.8701,0.0,0.0,0.0,1.0876,2.6,0.204,69.9698,5.226,576.33758,11.02488,192.49157,5.1081199999999995,0.258,3.93024,0.0792,1.49325,1.18834,24.4008,108.74282,0.0,982.22064,59.987230000000004,12.89082,0.3264,0.0,0.7094199999999999,628.41845,70.80894,0.0,0.8804,0.0,3.2616,5.9004,0.0,0.0,0.7548,0.0,0.07146,0.6380399999999999,0.06717999999999999,38.2616,19.10768,10.1784,0.1331
S_stir-fried rice with beef,57.8,Snack_any,138.486,28.11,4.14955,3.54428,0.43443999999999994,21.46733,0.88785,0.201,0.37535,0.3115,0.0,0.0,0.0,0.3495,0.0425,0.307,6.457000000000001,0.6628,4.535,49.325,118.72,58.478,0.6111800000000001,0.006163,0.031412,3.18925,0.5897,0.11075,1.44,277.394,0.06562,0.05778,0.656375,0.0,0.0,0.0,0.0325,0.0,0.004185,0.45356,3.185,3.185,0.0,0.1644,1.2399,0.0,0.0,0.0,0.63484,0.11717999999999999,0.0081,0.35278000000000004,0.15328,0.0035,0.0,0.0,0.0,1.7928400000000002,1.7928400000000002,0.0,2223.487,1085.5430000000001,92.384,187.459,197.57,51.562,96.545,100.46700000000001,23.61,102.601,79.955,153.39,1137.944,81.135,25.549,137.506,216.872,369.58,115.744,99.34899999999999,92.209,0.0,7.8588,2.8346400000000003,0.70472,0.8694,0.0,0.0,0.0,1.0716,2.496,0.204,69.6665,5.226,576.80488,11.02488,192.06637,5.04172,0.258,3.91534,0.0792,1.71375,1.18854,24.4008,108.65082,0.0,982.65094,59.90343000000001,12.89932,0.3264,0.0,0.7095199999999999,630.14145,68.95514,0.0,0.762,0.0,3.2616,5.9004,0.0,0.0,0.7548,0.0,0.06956,0.6400399999999999,0.06717999999999999,38.2616,19.10768,10.1784,0.1381
S_stir-fried rice with eggs,60.8,Snack_any,129.246,32.175,3.78595,2.41898,0.46684,21.97883,0.92085,0.201,0.40835,0.3115,0.0,0.0,0.0,0.3495,0.0425,0.307,13.657,0.7024,4.025,58.415,106.57,71.528,0.20678000000000002,0.007213,0.036812,5.65045,1.2323,9.80555,20.4,277.394,0.07624,0.09873,0.39570500000000003,0.0,0.0,0.0,0.15565,0.0,0.0025050000000000003,3.28856,15.335,15.335,0.0,0.1215,1.1283,3.135,0.0,3.135,0.8811399999999999,0.27798,0.0111,0.41578000000000004,0.15778,0.011000000000000001,0.003,0.0045,0.0,1.7928400000000002,1.7928400000000002,0.0,2092.777,1036.5230000000001,101.50399999999999,169.18900000000002,139.7,53.662,108.515,107.06700000000001,30.99,132.841,46.625,146.43,1056.254,80.265,48.019,115.21600000000001,217.862,310.27,66.634,57.43899999999999,152.899,7.65,49.3245,2.20704,0.8319200000000001,0.5622,0.0,0.0,0.0,0.0,0.0,0.0,4.5836,0.6225,382.53628,3.05478,135.51667,4.1897199999999994,0.336,3.69454,27.018,1.62495,0.77904,0.7365,27.19122,0.0,701.91274,38.63643,10.04302,0.0,0.0,0.8469200000000001,760.86615,70.76594,0.0,1.8615,0.0,1.6275,0.0,0.0,0.0,0.804,10.607999999999999,0.08216,0.76484,0.01888,2.4032,8.33468,8.2983,0.1711
S_rice cake soup,34.9,Snack_any,71.482,16.4745,2.36965,0.2287,0.8676,14.97355,0.02935,0.027000000000000003,0.00235,0.0,0.0,0.0,0.0,0.2265,0.0935,0.133,45.701,0.3314,7.935,46.626999999999995,37.673,223.08700000000002,0.3865,0.029464999999999998,0.16147,0.46415,5.962999999999999,0.01115,0.0,0.292,0.0056,0.0085,0.032365,0.0,0.0,0.0,0.0089,0.0,0.006115,1.6316,6.785,6.785,0.0,0.5088,0.2793,0.0256,0.0,0.0216,0.084,0.0146,0.003,0.0272,0.0,0.012,0.003,0.0182,0.006,0.0,0.0,0.0,1714.575,808.405,75.72,137.775,60.68,59.25,96.195,83.345,36.8,90.105,41.535,127.0,906.17,91.655,15.325,102.67,161.85,287.64,86.43,49.755,84.785,26.06,2.8828,0.1876,0.0407,0.0838,0.0,0.0,0.0,0.0,0.0904,0.0522,7.8406,0.6164,59.8734,0.9864,8.48235,2.1462,0.083,0.29600000000000004,1.0344,1.30715,0.0345,0.0,4.6072,0.0,25.5271,2.69325,0.3776,0.08900000000000001,0.9178,0.0683,37.82455,1.7878,0.0,0.0,0.0536,0.0834,0.0558,6.0204,0.201,0.5398,20.804000000000002,0.0308,0.0373,0.001,0.5254,0.711,0.4872,0.5760000000000001
S_pancake,74.0,Snack_any,230.675,23.2525,5.345,4.9904,1.36695,39.04515,0.6345,0.0,0.0165,0.0,0.618,0.0,0.0,0.0,0.0,0.0,71.85,0.3425,2.325,145.425,103.275,382.725,0.141,0.002625,0.0027,3.49035,0.6735,5.8356,18.45,0.0,0.064,0.209475,0.702875,0.0,0.0,0.0,0.112125,0.0,0.0,1.911,6.375,6.375,0.0,0.11175,0.1185,1.5675,0.0,1.5675,0.8718,0.18015,0.01365,0.4401,0.2304,0.00375,0.0015,0.00225,0.0,1.5774,1.5774,0.0,1393.275,678.6,64.8,128.175,98.925,36.75,69.975,69.15,19.2,85.5,32.325,73.8,714.675,58.425,28.125,66.375,128.775,222.825,37.875,71.325,97.125,3.825,26.11575,2.42535,0.9567,0.7368,13.3875,9.198,4.9695,10.7925,19.7595,0.3615,56.27865,4.45875,425.7537,4.75965,160.20165,5.47845,0.2265,5.65425,13.509,2.1336,0.6789,3.98175,22.44585,0.0,604.20675,34.70295,12.5334,0.4095,0.075,0.9657,854.05575,101.3202,0.0,1.13025,0.0,1.64775,1.0755,0.126,0.1665,0.6435,5.303999999999999,0.1074,0.85845,0.04395,17.8983,14.29785,12.16395,0.9875
S_(low-sugar) cereal,40.0,Snack_any,157.6,1.12,2.72,1.1159999999999999,0.912,34.132,6.896,6.14,0.41200000000000003,0.344,0.0,0.0,0.0,1.32,0.2,1.12,4.4,3.588,43.2,128.4,90.0,220.4,3.516,0.08,1.0432,14.568,20.096,1.0759999999999998,403.2,0.0,0.6464,1.3616,7.9412,0.0,0.0,0.0,0.0,0.0,0.7268,0.0,321.2,10.0,183.2,0.624,62.108000000000004,1.5959999999999999,0.0,1.5959999999999999,7.5360000000000005,3.2680000000000002,0.0,2.984,0.8959999999999999,0.17600000000000002,0.0,0.212,0.0,0.0,0.0,0.0,2359.2,1014.4,86.4,206.4,70.4,48.4,131.6,92.8,17.2,121.6,61.6,178.0,1344.8,94.0,52.8,145.2,232.8,456.8,120.4,107.2,135.6,0.0,0.0,1.068,0.408,0.292,0.0,0.0,0.0,0.0,0.64,0.32,7.763999999999999,0.624,234.62400000000002,0.672,32.132,4.843999999999999,0.0,3.3360000000000003,0.568,8.052,0.364,0.0,1.504,0.0,346.50800000000004,10.052,4.9639999999999995,0.44,1.432,0.408,390.23199999999997,16.224,0.0,0.44799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.392,0.004,0.444,1.8559999999999999,0.532,0.56
S_potato salad,76.5,Snack_any,90.715,58.216,1.8186,4.5574,0.79565,11.06735,0.1023,0.1023,0.0,0.0,0.0,0.0,0.0,2.1075,0.292,1.8155,12.67,0.4924,22.525,32.595,301.1,23.29,0.38215,0.12272000000000001,0.127185,3.1010000000000004,1.6325,0.00855,1.0,0.505,0.043435,0.04459,0.27663499999999996,0.0,0.0,0.0,0.250875,0.0,0.0154,0.38085,16.51,16.51,0.0,0.0,7.357,0.0,0.0,0.0,0.1335,0.1263,0.0012,0.00435,0.0,0.00165,0.0,0.0,0.0,0.0,0.0,0.0,1481.195,536.77,46.405,91.68,70.855,20.53,66.64,62.305,6.24,61.155,24.21,86.75,944.425,39.515,18.84,58.165,292.68,340.65,59.0,77.355,58.22,0.0,0.0,0.745,0.20125,0.0783,0.0,0.0,0.0,0.161,0.8227,0.0,0.81495,0.0861,57.89885,0.3624,12.6502,1.2655,0.0,0.48715,0.0,0.32899999999999996,0.465,0.0,3.6993,0.0,450.49775,11.63775,0.45675,0.0,0.0,0.20125,200.00205,1.65085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.20095,0.00045,0.29205,0.22095,0.0,0.055
S_potato raisin salad,80.0,Snack_any,96.85,58.98,1.599,3.8345,0.831,14.7105,3.3355,0.0,1.5205,1.815,0.0,0.0,0.0,2.115,0.33,1.785,10.75,0.493,19.3,30.4,323.5,24.55,0.3325,0.1173,0.10575,3.2715,1.594,0.0,1.0,0.45,0.0468,0.0769,0.28325,0.0,0.0,0.0,0.2436,0.0,0.0155,0.0,15.8,15.8,0.0,0.0,7.3685,0.0,0.0,0.0,0.0165,0.013999999999999999,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.6,458.75,39.0,76.35,65.1,18.35,54.9,56.6,4.6,53.75,19.8,70.3,798.85,32.15,15.7,49.0,265.3,268.15,42.75,76.8,49.0,0.0,0.0,0.0535,0.011000000000000001,0.026000000000000002,0.0,0.0,0.0,0.161,0.763,0.0,0.37799999999999995,0.0,15.245999999999999,0.0,3.965,0.937,0.0,0.7185,0.0,0.4985,0.0165,0.0,0.0,0.0,17.5725,0.177,0.0,0.0,0.0,0.011000000000000001,9.4295,1.9680000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0105,0.0,0.0,0.0,0.0,0.06
S_potato yoghurt salad,78.0,Snack_any,64.15,61.239,2.0114,0.5497,0.7706,13.4293,3.9322,0.0,1.5426,1.815,0.4888,0.0,0.0858,1.975,0.368,1.607,27.33,0.4239,18.49,39.1,303.92,7.93,0.3424,0.1024,0.09298,3.4811,1.8548,0.546,7.67,0.2,0.04253,0.09055,0.25185,0.0,0.0,0.0,0.2296,0.0,0.0133,0.0,14.9,14.9,0.0,0.0325,6.4891,0.0,0.0,0.0,0.036000000000000004,0.0335,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618.5,619.99,57.72,113.86,87.24,25.99,75.03,72.01,8.03,75.93,28.58,75.6,998.51,49.2,13.6,61.71,268.01,352.11,52.23,130.29,71.36,0.0,1.7732,0.5227,0.023,0.3428,24.9236,11.6922,4.9452,10.6251,15.1048,0.6032,43.2799,3.7427,149.4737,2.3517,68.4495,1.6469999999999998,1.5613,0.988,0.0,0.4515,0.1335,3.7128,5.5419,0.0,122.4211,2.1166,0.3718,0.1976,0.0,0.0243,18.7025,3.4441,0.0,0.0,0.0,0.7098,0.9919,0.0,0.0,0.1937,0.0,0.0018,0.0212,0.0221,17.2757,3.3709,1.4989,0.018000000000000002
S_rice cake with bean paste,80.0,Snack_any,165.6,38.96,3.44,0.64,0.48,36.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.96,0.0,35.2,23.2,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.032,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
S_rice cake with bean paste (40g),40.0,Snack_any,82.8,19.48,1.72,0.32,0.24,18.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.48,0.0,17.6,11.6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.016,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
S_pineapple,50.0,Snack_any,26.5,42.45,0.23,0.02,0.14,7.16,5.13,2.92,1.49,0.72,0.0,0.0,0.0,1.25,0.4,0.85,8.0,0.045,8.5,2.5,48.5,0.0,0.055,0.054000000000000006,1.8159999999999998,5.47,2.21,0.0,0.0,31.0,0.026000000000000002,0.0435,0.0685,0.0,0.0,0.0,0.0,0.0,0.0,1.71,11.5,11.5,0.0,0.0,22.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,68.5,7.0,11.0,10.0,4.0,6.5,7.5,3.0,8.0,3.5,8.0,124.5,9.5,8.0,14.0,31.0,29.0,10.5,7.5,15.0,0.0,0.0,0.015,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.67,0.0,0.0,0.0,0.0,0.83,0.005,0.0,0.0,0.0,4.84,0.09,0.0,0.0,0.0,0.005,3.69,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0
S_kyoho grape,100.0,Snack_any,61.0,81.4,0.43,0.04,1.75,16.38,12.8,0.0,6.27,6.53,0.0,0.0,0.0,0.4,0.4,0.0,4.0,0.17,7.0,13.0,173.0,1.0,0.09,0.01,0.055999999999999994,0.44,0.66,0.0,0.0,26.0,0.026000000000000002,0.047,0.035,0.0,0.0,0.0,0.0,0.0,0.003,1.43,19.0,19.0,0.0,0.0,0.13,0.0,0.0,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,109.0,5.0,9.0,10.0,2.0,6.0,14.0,0.0,10.0,6.0,47.0,221.0,4.0,5.0,80.0,14.0,65.0,8.0,28.0,17.0,0.0,0.0,0.05,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81,0.0,2.67,0.0,0.0,0.7,0.0,0.0,0.01,0.0,0.0,0.0,5.64,0.0,0.0,0.0,0.0,0.02,11.89,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
S_raisin potato bowl,35.0,Snack_any,34.95,25.385,0.735,0.0385,0.373,8.4685,3.3355,0.0,1.5205,1.815,0.0,0.0,0.0,1.035,0.17,0.865,6.3,0.24600000000000002,9.3,15.55,157.7,1.65,0.1485,0.0577,0.05415,1.4995,0.89,0.0,0.0,0.2,0.0218,0.0636,0.15765,0.0,0.0,0.0,0.1044,0.0,0.0067,0.0,7.0,7.0,0.0,0.0,3.1645,0.0,0.0,0.0,0.0165,0.013999999999999999,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.8,220.75,18.2,35.55,29.9,8.35,25.7,26.2,2.2,24.95,10.2,39.5,364.05,14.55,7.3,23.4,116.5,119.35,20.35,39.6,23.0,0.0,0.0,0.0375,0.006999999999999999,0.013999999999999999,0.0,0.0,0.0,0.069,0.327,0.0,0.162,0.0,8.398,0.0,2.293,0.501,0.0,0.5225,0.0,0.3105,0.0165,0.0,0.0,0.0,16.7965,0.177,0.0,0.0,0.0,0.006999999999999999,5.9615,1.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0065,0.0,0.0,0.0,0.0,0.005
S_black sesame soy milk (100ml),100.0,Snack_any,77.0,83.9,3.4,3.15,0.79,8.76,4.77,4.54,0.0,0.0,0.0,0.0,0.0,1.4,0.6,0.8,119.0,0.52,26.0,59.0,184.0,65.0,0.34,0.11599999999999999,0.207,3.51,36.22,0.0,0.0,0.0,0.023,0.018000000000000002,0.21600000000000003,0.0,0.0,0.0,0.23199999999999998,0.0,0.001,0.0,22.0,22.0,0.0,0.0,0.34,1.14,0.0,1.14,1.59,0.14,0.0,1.17,0.26,0.01,0.0,0.01,0.0,0.0,0.0,0.0,3311.0,1374.0,144.0,236.0,170.0,43.0,162.0,127.0,41.0,129.0,82.0,240.0,1937.0,190.0,34.0,138.0,391.0,741.0,140.0,135.0,168.0,0.0,0.0,3.0,1.67,0.57,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,314.58,2.21,232.57,11.25,0.82,7.45,0.0,3.59,0.75,0.0,2.73,0.0,709.78,32.12,5.82,0.0,0.0,1.67,1519.52,152.69,0.0,1.61,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.15,1.52,0.01,1.29,8.97,2.64,0.2
S_black sesame soy milk (150ml),150.0,Snack_any,115.5,125.85,5.1,4.725,1.185,13.14,7.155,6.81,0.0,0.0,0.0,0.0,0.0,2.1,0.9,1.2,178.5,0.78,39.0,88.5,276.0,97.5,0.51,0.174,0.3105,5.265,54.33,0.0,0.0,0.0,0.0345,0.027000000000000003,0.324,0.0,0.0,0.0,0.348,0.0,0.0015,0.0,33.0,33.0,0.0,0.0,0.51,1.71,0.0,1.71,2.385,0.21,0.0,1.755,0.39,0.015,0.0,0.015,0.0,0.0,0.0,0.0,4966.5,2061.0,216.0,354.0,255.0,64.5,243.0,190.5,61.5,193.5,123.0,360.0,2905.5,285.0,51.0,207.0,586.5,1111.5,210.0,202.5,252.0,0.0,0.0,4.5,2.505,0.855,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,471.87,3.315,348.855,16.875,1.23,11.175,0.0,5.385,1.125,0.0,4.095,0.0,1064.67,48.18,8.73,0.0,0.0,2.505,2279.28,229.035,0.0,2.415,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.225,2.28,0.015,1.935,13.455,3.96,0.3
S_black sesame soy milk (200ml),200.0,Snack_any,154.0,167.8,6.8,6.3,1.58,17.52,9.54,9.08,0.0,0.0,0.0,0.0,0.0,2.8,1.2,1.6,238.0,1.04,52.0,118.0,368.0,130.0,0.68,0.23199999999999998,0.414,7.02,72.44,0.0,0.0,0.0,0.046,0.036000000000000004,0.43200000000000005,0.0,0.0,0.0,0.46399999999999997,0.0,0.002,0.0,44.0,44.0,0.0,0.0,0.68,2.28,0.0,2.28,3.18,0.28,0.0,2.34,0.52,0.02,0.0,0.02,0.0,0.0,0.0,0.0,6622.0,2748.0,288.0,472.0,340.0,86.0,324.0,254.0,82.0,258.0,164.0,480.0,3874.0,380.0,68.0,276.0,782.0,1482.0,280.0,270.0,336.0,0.0,0.0,6.0,3.34,1.14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,629.16,4.42,465.14,22.5,1.64,14.9,0.0,7.18,1.5,0.0,5.46,0.0,1419.56,64.24,11.64,0.0,0.0,3.34,3039.04,305.38,0.0,3.22,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.3,3.04,0.02,2.58,17.94,5.28,0.4
S_black soybean milk (100ml),100.0,Snack_any,86.0,82.6,3.21,3.77,0.55,9.87,4.71,1.37,1.24,2.1,0.0,0.0,0.0,0.9,0.3,0.6,23.0,0.42,22.0,57.0,178.0,77.0,0.23,0.114,0.23399999999999999,1.9,32.62,0.0,0.0,0.0,0.061,0.019,0.0,0.0,0.0,0.0,0.376,0.0,0.017,2.6,0.0,0.0,0.0,0.0,0.15,0.95,0.0,0.95,1.26,0.18,0.0,0.74,0.3,0.01,0.01,0.01,0.01,0.0,0.0,0.0,3418.0,1552.0,181.0,292.0,192.0,64.0,187.0,175.0,16.0,170.0,71.0,204.0,1866.0,121.0,2.0,0.0,486.0,847.0,157.0,246.0,7.0,0.0,0.0,3.6,1.69,1.16,0.0,0.0,60.61,44.11,345.29,0.0,134.51,0.0,400.83,2.51,151.07,11.39,1.11,8.51,0.0,4.37,0.73,0.0,2.49,0.0,681.83,34.49,6.53,0.0,0.0,1.69,1508.95,177.52,0.0,1.36,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.51,0.02,2.0,11.5,3.77,0.2
S_black soybean milk (150ml),150.0,Snack_any,129.0,123.9,4.815,5.655,0.825,14.805,7.065,2.055,1.86,3.15,0.0,0.0,0.0,1.35,0.45,0.9,34.5,0.63,33.0,85.5,267.0,115.5,0.345,0.171,0.35100000000000003,2.85,48.93,0.0,0.0,0.0,0.0915,0.0285,0.0,0.0,0.0,0.0,0.564,0.0,0.0255,3.9,0.0,0.0,0.0,0.0,0.225,1.425,0.0,1.425,1.89,0.27,0.0,1.11,0.45,0.015,0.015,0.015,0.015,0.0,0.0,0.0,5127.0,2328.0,271.5,438.0,288.0,96.0,280.5,262.5,24.0,255.0,106.5,306.0,2799.0,181.5,3.0,0.0,729.0,1270.5,235.5,369.0,10.5,0.0,0.0,5.4,2.535,1.74,0.0,0.0,90.915,66.165,517.935,0.0,201.765,0.0,601.245,3.765,226.605,17.085,1.665,12.765,0.0,6.555,1.095,0.0,3.735,0.0,1022.745,51.735,9.795,0.0,0.0,2.535,2263.425,266.28,0.0,2.04,2.175,0.0,0.0,0.0,0.0,0.0,0.0,0.27,2.265,0.03,3.0,17.25,5.655,0.3
