Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S참외,S우유(200ml),검정콩밥,오이냉국,새우살칠리소스볶음,미나리초무침,깍두기,S무지개떡,S보리차,수수밥,순두부찌개,돼지고기수육,상추+쌈장,깍두기
S토마토,S우유(200ml),찹쌀현미밥,북어김칫국,닭가슴살숙주볶음,부추나물,깍두기,S단팥빵,S보리차,기장밥,새우맑은국,쇠고기브로콜리볶음,미나리나물,배추김치
S우유(200ml),,크림소스스파게티,새싹채소샐러드(오리엔탈드레싱),,S복숭아,배추김치,S참치주먹밥,S보리차,,,,,
S포도,S우유(200ml),흑미밥,콩가루배춧국,돼지고기곤약볶음,쑥갓나물,깍두기,S김치말이국수,,백미밥,숙주맑은국,닭가슴살부추무침,견과류멸치볶음,배추김치
S옥수수죽,,검정콩밥,애호박된장국,두부스테이크,콩나물무침,깍두기,S버터감자구이,S우유(100ml),수수밥,미역국,돼지불고기,배추나물,깍두기
S바나나,,백미밥,감자미역국,돼지갈비찜,시금치나물,깍두기,S케이크,S우유(100ml),,,,,
S오트밀죽,,검정콩밥,미역국,돼지고기떡볶음,깻잎나물,배추김치,S피자빵,S우유(100ml),백미밥,청경채된장국,새우살볶음,숙주나물,배추김치
S쇠고기죽,,흑미밥,도토리묵냉국,닭가슴살단호박조림,마늘종볶음,깍두기,S증편,S우유(100ml),기장밥,무들깻국,돼지고기깻잎볶음,뱅어포조림,배추김치
S근대죽,,백미밥,크림스프,돈까스,양상추샐러드(키위드레싱),깍두기,S찐감자,S우유(100ml),차조밥,건새우아욱국,닭봉구이,단호박찜,배추김치
S열무죽,,수수밥,우렁이된장국,쇠고기파프리카볶음,우엉조림,배추김치,S참외,S우유(100ml),검정콩밥,건홍합다시마맑은국,달걀찜,감자채볶음,배추김치
S참치채소죽,,차조밥,애호박맑은국,두부구이+양념장,고춧잎나물,배추김치,S복숭아,S우유(100ml),완두콩밥,만둣국,쇠고기떡찜,오이무침,배추김치
S우유(200ml),,김가루주먹밥,미니메밀국수,춘권튀김,,배추김치,S백설기,S보리차,,,,,
S흑임자죽,,흑미밥,얼갈이된장국,쇠고기감자볶음,멸치조림,깍두기,S토마토,S우유(100ml),수수밥,유부장국,두부양념조림,애호박나물,배추김치
S달걀채소죽,,차조밥,미니우동,임연수양념조림,브로콜리볶음,배추김치,S찐옥수수,S우유(100ml),백미밥,감잣국,쇠고기산적,얼갈이나물,깍두기
S게살죽,,찹쌀밥,삼계탕,미나리장떡,S참외,깍두기,S식빵토스트,S우유(100ml),흑미밥,달걀국,임연수구이,브로콜리숙회+들깨소스,배추김치
S연두부죽,,검정콩밥,가지냉국,채소달걀말이,느타리버섯나물,깍두기,S약식,S우유(100ml),기장밥,김칫국,찜닭,미나리나물,깍두기
S황태죽,,수수밥,조갯살맑은국,돼지갈비찜,열무나물,배추김치,S수박,S우유(100ml),차조밥,버섯된장국,쇠고기가지볶음,부추나물,배추김치
S우유(200ml),,김치볶음밥,유부장국,새우채소전,,깍두기,S카스텔라,S보리차,,,,,
S버섯죽,,백미밥,쇠고깃국,비빔만두,고구마순나물,깍두기,S복숭아(천도),S우유(100ml),검정콩밥,열무된장국,돼지고기장조림,쥐어채볶음,배추김치
S달걀부추죽,,흑미밥,아욱된장국,마파두부,치커리무침,배추김치,S단호박찜,S우유(100ml),수수밥,어묵국,쇠고기양배추볶음,비름나물,깍두기
S감자죽,,굴소스닭가슴살덮밥,미소장국,과일샐러드(요거트드레싱),,배추김치,S가지카레튀김,S우유(100ml),백미밥,청경채맑은국,두부데리야끼소스구이,아욱무침,배추김치
S타락죽,,기장밥,오징엇국,메추리알장조림,깻잎들깨볶음,깍두기,S냉콩국+소면,,차조밥,호박잎된장국,짜장닭볶음,가지구이무침,배추김치
S당근죽,,수수밥,콩나물국,돼지고기김치볶음,시금치나물,깍두기,S참외,S우유(100ml),완두콩밥,안매운육개장,오징어숙회,취나물무침,배추김치
S우유(200ml),,참치마요덮밥,미역된장국,쫄면채소무침,,배추김치,S절편,S보리차,,,,,
S녹두죽,,기장밥,양배추된장국,고등어카레구이,노각무침,깍두기,S키위,S우유(100ml),찹쌀현미밥,조갯살맑은국,닭갈비,콩나물무침,배추김치
S들깨죽,,차조밥,뭇국,쇠고기채소조림,참나물겉절이,배추김치,S수박화채,,흑미밥,시금치된장국,고등어조림,도토리묵무침,깍두기
S브로콜리죽,,돼지고기채소볶음밥,유부장국,고구마맛탕,,배추김치,S바나나,S우유(100ml),백미밥,근대된장국,쇠고기채소볶음,무나물,배추김치
